of,and,of the,for,in the,with,in,to,the,that,
61.818182,45.454545,29.090909,9.090909,10.909091,3.636364,20.000000,7.272727,74.545455,25.454545,
37.610619,88.495575,21.017699,1.106195,4.424779,17.699115,11.061947,7.743363,112.831858,22.123894,
53.995680,87.473002,16.198704,6.479482,7.559395,7.559395,9.719222,11.879050,69.114471,6.479482,
47.502048,76.167076,19.656020,7.371007,5.733006,4.095004,13.923014,13.923014,76.986077,26.208026,
50.000000,87.500000,16.250000,8.750000,3.750000,12.500000,7.500000,21.250000,52.500000,12.500000,
49.533381,87.580761,15.075377,7.178751,5.743001,15.793252,8.614501,25.843503,64.608758,17.229002,
52.998605,80.892608,13.947001,8.368201,8.368201,18.131102,18.131102,22.315202,80.892608,23.709902,
121.399177,59.670782,28.806584,4.115226,16.460905,0.000000,24.691358,8.230453,148.148148,4.115226,
84.848485,83.636364,37.575758,4.848485,8.484848,3.636364,19.393939,7.272727,95.757576,10.909091,
45.360825,47.422680,10.309278,22.680412,8.247423,6.185567,22.680412,12.371134,92.783505,16.494845,
57.170543,151.162791,19.379845,1.937984,3.875969,14.534884,3.875969,27.131783,77.519380,6.782946,
63.241107,71.146245,19.762846,3.952569,0.000000,3.952569,3.952569,43.478261,126.482213,7.905138,
84.848485,77.272727,12.121212,22.727273,3.030303,0.000000,10.606061,18.181818,98.484848,6.060606,
64.935065,100.000000,23.376623,6.493506,1.298701,2.597403,7.792208,32.467532,105.194805,7.792208,
66.737288,141.949153,29.661017,11.652542,1.059322,9.533898,4.237288,47.669492,77.330508,2.118644,
68.181818,61.688312,25.974026,12.987013,9.740260,0.000000,32.467532,3.246753,61.688312,29.220779,
115.984405,59.454191,54.580897,11.695906,1.949318,54.580897,8.771930,12.670565,55.555556,1.949318,
77.971234,58.289175,18.925057,8.327025,5.299016,13.626041,14.383043,28.766086,84.027252,15.140045,
22.648084,50.522648,6.968641,22.648084,1.742160,3.484321,15.679443,20.905923,45.296167,27.874564,
45.019157,86.206897,17.241379,11.494253,3.831418,4.789272,19.157088,8.620690,72.796935,12.452107,
56.133056,83.160083,14.553015,4.158004,4.158004,13.513514,15.592516,16.632017,90.436590,12.474012,
56.358382,60.693642,28.901734,5.780347,4.335260,4.335260,10.115607,13.005780,60.693642,18.786127,
57.007126,86.698337,14.251781,2.375297,4.750594,2.375297,10.688836,13.064133,79.572447,11.876485,
61.760841,78.843627,15.768725,10.512484,2.628121,14.454665,15.768725,13.140604,63.074901,10.512484,
63.576159,23.841060,14.569536,5.298013,7.947020,2.649007,23.841060,13.245033,87.417219,18.543046,
42.471042,77.992278,22.393822,7.722008,4.633205,5.405405,13.127413,6.177606,65.637066,16.216216,
42.016807,88.235294,14.705882,7.352941,6.302521,12.605042,13.655462,14.705882,85.084034,18.907563,
57.750760,86.119554,11.144883,8.105370,2.026342,8.105370,16.210740,8.105370,55.724417,18.237082,
47.990402,101.379724,14.997001,4.799040,6.598680,10.797840,14.997001,14.997001,60.587882,17.996401,
69.767442,103.594080,14.799154,2.114165,8.456660,0.000000,23.255814,10.570825,82.452431,10.570825,
62.348178,68.016194,11.336032,5.668016,0.809717,8.097166,12.145749,18.623482,61.538462,12.955466,
50.125313,92.731830,7.518797,5.012531,7.518797,10.025063,20.050125,10.025063,47.619048,12.531328,
41.830065,70.588235,24.836601,7.843137,5.228758,2.614379,5.228758,16.993464,57.516340,13.071895,
35.410765,83.569405,22.662890,7.082153,1.416431,5.665722,8.498584,25.495751,33.994334,15.580737,
29.320988,84.876543,12.345679,1.543210,7.716049,12.345679,16.975309,21.604938,40.123457,18.518519,
27.927928,85.585586,13.513514,9.909910,6.306306,14.414414,11.711712,13.513514,38.738739,15.315315,
49.350649,80.519481,7.792208,2.597403,5.194805,7.792208,18.181818,23.376623,46.753247,7.792208,
43.478261,95.652174,14.492754,4.830918,5.797101,11.594203,18.357488,19.323671,67.632850,18.357488,
29.945554,82.577132,14.519056,5.444646,5.444646,8.166969,19.056261,24.500907,46.279492,12.704174,
76.975945,67.353952,14.432990,4.810997,6.872852,4.123711,19.243986,22.680412,81.786942,16.494845,
54.054054,62.162162,13.513514,16.216216,6.756757,5.405405,21.621622,36.486486,54.054054,31.081081,
35.439137,70.878274,10.785824,12.326656,9.244992,15.408320,23.112481,21.571649,35.439137,12.326656,
36.697248,78.636959,10.484928,3.931848,5.242464,7.863696,20.969856,15.727392,40.629096,22.280472,
18.484288,70.240296,3.696858,11.090573,5.545287,3.696858,16.635860,20.332717,40.665434,22.181146,
43.478261,74.074074,16.103060,9.661836,1.610306,0.000000,16.103060,17.713366,54.750403,14.492754,
38.363171,75.447570,11.508951,8.951407,1.278772,2.557545,10.230179,20.460358,52.429668,7.672634,
38.043478,56.159420,9.963768,16.304348,2.717391,8.152174,18.115942,21.739130,66.123188,21.739130,
25.500911,80.145719,12.750455,18.214936,1.821494,3.642987,14.571949,21.857923,56.466302,21.857923,
55.934516,77.762619,25.920873,12.278308,4.092769,8.185539,12.278308,12.278308,79.126876,16.371078,
77.448747,66.059226,31.890661,4.555809,0.000000,11.389522,6.833713,22.779043,88.838269,13.667426,
53.191489,74.468085,23.936170,11.968085,3.989362,3.989362,6.648936,26.595745,90.425532,7.978723,
50.980392,98.039216,21.568627,11.764706,1.960784,3.921569,9.803922,23.529412,90.196078,9.803922,
36.968577,92.421442,11.090573,5.545287,1.848429,0.000000,12.939002,33.271719,44.362292,20.332717,
41.414141,58.585859,14.141414,15.151515,3.030303,5.050505,8.080808,32.323232,55.555556,16.161616,
45.243619,77.726218,13.921114,3.480278,1.160093,4.640371,2.320186,32.482599,49.883991,13.921114,
45.725646,81.510934,11.928429,3.976143,3.976143,7.952286,13.916501,25.844930,75.546720,21.868787,
31.128405,71.335927,16.861219,12.970169,1.297017,5.188067,9.079118,9.079118,57.068742,15.564202,
34.433286,80.344333,14.347202,12.912482,2.869440,12.912482,27.259684,30.129125,74.605452,24.390244,
34.246575,74.719801,11.207970,6.849315,3.113325,10.585305,11.207970,12.453300,78.455791,20.547945,
42.813456,80.530071,25.484200,9.174312,4.077472,5.096840,12.232416,23.445464,65.239551,12.232416,
17.647059,89.705882,5.882353,10.294118,1.470588,11.764706,7.352941,29.411765,48.529412,10.294118,
42.466550,100.639907,18.033741,7.562536,4.072135,12.216405,12.216405,23.851076,63.408959,10.471204,
31.952663,86.390533,13.017751,3.550296,5.917160,11.834320,21.301775,33.136095,42.603550,20.118343,
14.367816,106.321839,1.436782,5.747126,7.183908,11.494253,28.735632,34.482759,30.172414,12.931034,
18.619085,60.512025,6.206362,13.964313,3.878976,6.982157,10.085337,23.273856,48.875097,10.861133,
38.076152,60.120240,12.024048,8.016032,6.012024,4.008016,20.040080,18.036072,52.104208,16.032064,
47.306176,81.471748,10.512484,9.198423,2.628121,13.140604,18.396846,18.396846,57.818660,28.909330,
32.490975,83.032491,7.220217,10.830325,13.237064,7.220217,24.067389,36.101083,39.711191,15.643803,
28.744327,60.514372,9.077156,7.564297,4.538578,4.538578,12.102874,21.180030,42.360061,21.180030,
32.369146,73.002755,4.820937,6.887052,4.132231,6.887052,15.151515,28.236915,37.190083,18.595041,
25.912839,56.537102,5.889282,9.422850,10.600707,4.711425,17.667845,32.979976,61.248528,8.244994,
41.558442,83.116883,15.584416,12.987013,10.389610,15.584416,20.779221,20.779221,59.740260,15.584416,
21.556886,83.832335,10.778443,10.778443,1.197605,10.778443,9.580838,23.952096,45.508982,14.371257,
35.629454,52.256532,19.002375,4.750594,14.251781,23.752969,35.629454,23.752969,47.505938,11.876485,
28.242678,86.820084,12.552301,9.414226,4.184100,9.414226,16.736402,42.887029,42.887029,21.966527,
40.229885,123.563218,8.620690,2.873563,5.747126,2.873563,14.367816,17.241379,71.839080,22.988506,
42.134831,70.224719,18.258427,11.235955,4.213483,7.022472,14.044944,9.831461,50.561798,18.258427,
49.396268,93.304061,9.879254,2.195390,5.488474,3.293085,10.976948,23.051592,53.787047,15.367728,
41.994751,74.365704,4.374453,8.748906,3.499563,13.123360,14.873141,33.245844,57.742782,20.122485,
55.299539,89.861751,11.520737,6.912442,2.304147,0.000000,16.129032,18.433180,59.907834,11.520737,
33.653846,105.769231,8.012821,4.807692,6.410256,3.205128,19.230769,24.038462,65.705128,14.423077,
