saith the,the king,saith,love,children of,the children,jesus christ,faith,he that,jesus,
0.000000,0.000000,0.000000,0.000000,1.048218,1.048218,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.988072,1.988072,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.622517,6.622517,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.991080,0.000000,21.803766,21.803766,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,6.465517,6.465517,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,22.222222,22.222222,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,5.181347,5.181347,0.000000,0.000000,1.036269,0.000000,
0.000000,0.000000,0.000000,0.000000,26.966292,26.966292,0.000000,0.000000,0.000000,0.000000,
0.000000,1.584786,0.000000,0.000000,0.792393,0.792393,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,9.794319,9.794319,0.000000,0.000000,0.000000,0.000000,
0.000000,2.453988,0.000000,0.000000,4.907975,3.680982,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,1.996008,1.996008,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,1.085776,0.000000,1.085776,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,1.555210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,3.558719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.766784,0.000000,
0.000000,0.000000,0.000000,0.000000,2.076843,2.076843,0.000000,0.000000,0.000000,0.000000,
